,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production Countries:,Languages:,MPAA Rating:,Franchise:,Production/Financing Companies:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
34,https://www.the-numbers.com/movie/Fletch,[],"[['Harold Faltermeyer', 'Composer'], ['Michael Ritchie', 'Director'], ['Gregory McDonald', 'Story Creator']]",100.0% (domestic box office/worldwide),"$120,630,699","$7,022,970 (15.0% of total gross)",6.65 (domestic box office/biggest weekend),"1,225 opening theaters/1,303 max. theaters, 7.1 weeks average run per theater",,"May 31st, 1985 (Wide) by Universal",,98 minutes,vs. Fletch LivesCreate your own comparison chart…,"News, Film Noir, Crime Comedy, False Identity, Narcotics, Investigative Journalist, Newspaper Industry, Suicide, Faked Suicide, Cancer, Terminal Illness, Assisted Suicide, LAPD, Undercover, Corrupt Cops, Bigamy or Polygamy, Relationships Gone Wrong, Surprise Twist",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,United States,English,PG,Fletch,,,"$46,700,000",,,,
35,https://www.the-numbers.com/movie/Goonies-The-(1985),[],"[['Richard Donner', 'Director'], ['Richard Donner', 'Producer'], ['Harvey Bernhard', 'Producer'], ['Steven Spielberg', 'Executive Producer'], ['Frank Marshall', 'Executive Producer'], ['Kathleen Kennedy', 'Executive Producer'], ['Chris Columbus', 'Screenwriter'], ['Steven Spielberg', 'Story Creator']]",98.7% (domestic box office/worldwide),"$158,575,590","$9,105,913 (14.6% of total gross)",6.84 (domestic box office/biggest weekend),"1,705 opening theaters/1,705 max. theaters, 8.3 weeks average run per theater",,"June 7th, 1985 (Wide) by Warner Bros.May 1st, 2019 (Limited) by Warner Bros., released as The Goonies (1985) (Re-Release)","August 21st, 2001 by Warner Home Video",114 minutes,vs. The SandlotCreate your own comparison chart…,"Treasure Hunters, Fugitive / On the Run, Dysfunctional Family, Mutants, Pirates, Gangs, Unbelieving Police, Learning Disabilities, Money Troubles, Land Developer",Original Screenplay,Adventure,Live Action,Contemporary Fiction,United States,English,PG,,Warner Bros.,"December 12th, 1985 (Wide) (Australia)
April 19th, 2019 (Wide), released as The Goonies (4K Restoration) (United Kingdom)
August 16th, 2019 (Wide) (Spain)
December 13th, 2019 (Wide) (Italy)
June 4th, 2020 (Wide) (New Zealand)
... Show all releases
","$62,254,058",,,"$849,144","$63,103,202"
36,https://www.the-numbers.com/movie/Perfect,"['Anne De Salvo', 'Marilu Henner', 'Laraine Newman', 'Mathew Reed', 'Jann Wenner', 'John Travolta', 'Jamie Lee Curtis']","[['James Bridges', 'Director'], ['James Bridges', 'Producer'], ['Aaron Latham', 'Screenwriter'], ['James Bridges', 'Screenwriter'], ['Aaron Latham', 'Story based on the articles in Rolling Stone by'], ['Jack Larson', 'Co-Producer'], ['Kim Kurumada', 'Executive Producer'], ['Gordon Willis', 'Director of Photography'], ['Jeff Gourson', 'Editor'], ['Ralph Burns', 'Composer'], ['Becky Mancuso', 'Music Supervisor']]",100.0% (domestic box office/worldwide),"$33,370,675","$4,222,810 (32.7% of total gross)",3.06 (domestic box office/biggest weekend),"1,344 opening theaters/1,344 max. theaters, 3.2 weeks average run per theater",,"June 7th, 1985 (Wide) by Sony Pictures","January 1st, 2002 by Sony Pictures Home Entertainment",120 minutes,vs. XanaduCreate your own comparison chart…,Romance,Based on Fiction Book/Short Story,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,R,,Columbia Pictures,,"$12,918,858",,,,
37,https://www.the-numbers.com/movie/Kaze-no-Tani-no-Naushika,[],"[['Hayao Miyazaki', 'Director'], ['Hayao Miyazaki', 'Screenwriter'], ['Rick Dempsey', 'Producer'], ['Isao Takahata', 'Producer']]",,,,,,,"June 13th, 1985 (Limited) by GKIDS, released as Nausicaä of the Valley of the WindSeptember 24th, 2017 (Limited) by GKIDS, released as Nausicaä of the Valley of the Wind","February 22nd, 2005 by Walt Disney Home Entertainment, released as Nausicaa of the Valley of the Wind",117 minutes,vs. Sen to Chihiro no KamikakushiCreate your own comparison chart…,"Anime, Pacifist, War, Novel or Other Work Adapted by Author, Post Apocalypse, Prince/Princess, Death of a Sibling, Alien Encounters, Set in Outer Space, Steampunk, Environment, Young Child Dealing with the Death of a Parent, Near Death Experience",Based on Comic/Graphic Novel,Adventure,Hand Animation,Science Fiction,"Japan, United States","English, Japanese","PG for violence.
Rating is for 2014 Re-Release Edited Version",,,"February 28th, 2019 (Wide), released as НАВСИКАЯ ИЗ ДОЛИНЫ ВЕТРОВ (re-release)
 (Russia (CIS))
June 6th, 2020 (Wide) (New Zealand)
July 17th, 2020 (Wide) (Japan)
September 11th, 2020 (Wide), released as Nausicaa Of The Valley Of The Wind (Australia)
July 25th, 2022 (Wide), released as Nausicaa della valle del vento (Italy)
... Show all releases
",n/a,,,"$6,429,471","$6,429,471"
38,https://www.the-numbers.com/movie/DARYL,[],"[['Simon Wincer', 'Director'], ['David Ambrose', 'Screenwriter'], ['Allan Scott', 'Screenwriter'], ['Jeffrey Ellis', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$19,315,278","$2,649,832 (40.4% of total gross)",2.48 (domestic box office/biggest weekend),"1,100 opening theaters/1,100 max. theaters, 2.6 weeks average run per theater",,"June 14th, 1985 (Wide) by Paramount Pictures",,100 minutes,vs. Flight of the NavigatorCreate your own comparison chart…,"Robot, Family Drama, Faulty Memory, Baseball, Foster Family, Military Stealing New Invention, Scientific Experiment Gone Awry, Faked Death",Original Screenplay,Drama,Live Action,Science Fiction,"United Kingdom, United States",English,,,,,"$6,561,653",,,,
39,https://www.the-numbers.com/movie/Prizzis-Honor,[],"[['John Huston', 'Director'], ['Richard Condon', 'Screenwriter'], ['Richard Condon', 'Story Creator'], ['Janet Roach', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$68,968,725","$4,234,537 (15.9% of total gross)",6.31 (domestic box office/biggest weekend),"719 opening theaters/722 max. theaters, 9.3 weeks average run per theater",,"June 14th, 1985 (Wide) by 20th Century Fox","September 16th, 2003 by MGM Video",130 minutes,Create your own comparison chart…,"Mafia, Hitmen, Black Comedy, Romance, Relationships Gone Wrong, Organized Crime, Dysfunctional Family, Hitman Falling In Love with their Target, Novel or Other Work Adapted by Author, Satire, 1986 Oscars Best Picture Nominee",Based on Fiction Book/Short Story,Black Comedy,Live Action,Contemporary Fiction,United States,,R,,,,"$26,700,000",,,,
40,https://www.the-numbers.com/movie/Secret-Admirer,[],[],100.0% (domestic box office/worldwide),"$22,273,426","$2,414,984 (28.0% of total gross)",3.57 (domestic box office/biggest weekend),"1,300 opening theaters/1,300 max. theaters, 3.1 weeks average run per theater",,"June 14th, 1985 (Wide) by Orion Pictures","April 28th, 1998 by Orion Video",,Create your own comparison chart…,Romance,Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,United States,,,,,"July 8th, 2021 (Wide) (New Zealand)
","$8,622,757",,,$216,"$8,622,973"
41,https://www.the-numbers.com/movie/Cocoon,"['Don Ameche', 'Wilford Brimley', 'Hume Cronyn', 'Brian Dennehy', 'Jack Gilford', 'Steve Guttenberg', 'Maureen Stapleton', 'Jessica Tandy', 'Gwen Verdon', 'Herta Ware', 'Tahnee Welch']","[['Ron Howard', 'Director'], ['Richard D. Zanuck', 'Producer'], ['David Brown', 'Producer'], ['Lili Fini Zanuck', 'Producer'], ['David Saperstein', 'Story Creator'], ['Tom Benedek', 'Screenwriter'], ['Donald Peterman', 'Director of Photography'], ['James Horner', 'Composer']]",100.0% (domestic box office/worldwide),"$196,980,247","$7,936,427 (10.4% of total gross)",9.61 (domestic box office/biggest weekend),"1,140 opening theaters/1,163 max. theaters, 12.6 weeks average run per theater",,"June 21st, 1985 (Wide) by 20th Century Fox","January 7th, 1997 by Fox Home Entertainment",117 minutes,vs. Gung HoCreate your own comparison chart…,"First Contact, Autumn Years, Friendly Alien on Earth, Romance, Interspecies Romance",Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction,United States,English,PG-13 adult situations/language,Cocoon,"Zanuck/Brown, 20th Century Fox",,"$76,257,348",,,,
42,https://www.the-numbers.com/movie/Lifeforce,['Mathilda May'],"[['Tobe Hooper', 'Director'], ['Dan O’Bannon', 'Screenwriter'], ['Don Jakoby', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$29,973,099","$4,209,136 (36.3% of total gross)",2.76 (domestic box office/biggest weekend),"1,526 opening theaters/1,526 max. theaters, 3.0 weeks average run per theater","$25,000,000 (worldwide box office is 0.5 times production budget)","June 21st, 1985 (Wide) by Sony/TriStar","May 27th, 1998 by MGM Video",116 minutes,vs. Pitch BlackCreate your own comparison chart…,"Vampire, Action Horror, Cult Movie, Alien Encounters, Space Program",Based on Fiction Book/Short Story,Horror,Live Action,Science Fiction,United Kingdom,English,R,,,,"$11,603,545",,,,
43,https://www.the-numbers.com/movie/Return-to-Oz,[],[],100.0% (domestic box office/worldwide),"$27,429,432","$2,844,895 (26.8% of total gross)",3.73 (domestic box office/biggest weekend),"1,238 opening theaters/1,238 max. theaters, 3.1 weeks average run per theater","$27,000,000 (worldwide box office is 0.4 times production budget)","June 21st, 1985 (Wide) by Walt Disney",,,vs. Teenage Mutant Ninja TurtlesCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Fantasy,"United Kingdom, United States",,PG,Wizard of Oz,,,"$10,618,813",,,,
