,year,movie,url,genre,release_type,revenue_to_date
7911,1985,Sesame Street Presents Follow That Bird,https://www.the-numbers.com/movie/Sesame-Street-Presents-Follow-That-Bird,Adventure,Theatrical,13961370.0
7912,1985,Weird Science,https://www.the-numbers.com/movie/Weird-Science,Comedy,Theatrical,16316258.0
7914,1985,Real Genius,https://www.the-numbers.com/movie/Real-Genius-(1985),Comedy,Theatrical,12952019.0
7918,1985,Summer Rental,https://www.the-numbers.com/movie/Summer-Rental,Comedy,Theatrical,24671000.0
7924,1985,The Return of the Living Dead,https://www.the-numbers.com/movie/Return-of-the-Living-Dead-The,Horror,Theatrical,14620685.0
7925,1985,Volunteers,https://www.the-numbers.com/movie/Volunteers,Comedy,Theatrical,19875740.0
7926,1985,Year of the Dragon,https://www.the-numbers.com/movie/Year-of-the-Dragon,Action,Theatrical,18707466.0
7928,1985,Better Off Dead...,https://www.the-numbers.com/movie/Better-Off-Dead,Black Comedy,Theatrical,10297601.0
7932,1985,Teen Wolf,https://www.the-numbers.com/movie/Teen-Wolf,Comedy,Theatrical,33086611.0
7935,1985,American Ninja,https://www.the-numbers.com/movie/American-Ninja,Action,Theatrical,10582467.0
7936,1985,Compromising Positions,https://www.the-numbers.com/movie/Compromising-Positions,Comedy,Theatrical,10600000.0
7945,1985,After Hours,https://www.the-numbers.com/movie/After-Hours,Black Comedy,Theatrical,10609321.0
7946,1985,Agnes of God,https://www.the-numbers.com/movie/Agnes-of-God,Drama,Theatrical,25627836.0
7949,1985,Plenty,https://www.the-numbers.com/movie/Plenty,Drama,Theatrical,6104212.0
7956,1985,Invasion U.S.A.,https://www.the-numbers.com/movie/Invasion-USA-(1985),Action,Theatrical,17604370.0
7957,1985,The Journey of Natty Gann,https://www.the-numbers.com/movie/Journey-of-Natty-Gann-The,Adventure,Theatrical,9468512.0
7965,1985,Sweet Dreams,https://www.the-numbers.com/movie/Sweet-Dreams,Drama,Theatrical,9100000.0
7968,1985,Commando,https://www.the-numbers.com/movie/Commando,Action,Theatrical,35078913.0
7971,1985,Jagged Edge,https://www.the-numbers.com/movie/Jagged-Edge,Thriller/Suspense,Theatrical,40491165.0
7977,1985,Remo Williams: The Adventure Begins,https://www.the-numbers.com/movie/Remo-Williams-The-Adventure-Begins,Adventure,Theatrical,14393902.0
7978,1985,Silver Bullet,https://www.the-numbers.com/movie/Silver-Bullet,Horror,Theatrical,10803211.0
7987,1985,Twice in a Lifetime,https://www.the-numbers.com/movie/Twice-in-a-Lifetime,Drama,Theatrical,7681246.0
7990,1985,Krush Groove,https://www.the-numbers.com/movie/Krush-Groove,Drama,Theatrical,11052713.0
7996,1985,Death Wish 3,https://www.the-numbers.com/movie/Death-Wish-3,Action,Theatrical,16116878.0
7999,1985,A Nightmare on Elm Street Part 2: Fre…,https://www.the-numbers.com/movie/Nightmare-on-Elm-Street-Part-2-Freddys-Revenge-A-(1985),Horror,Theatrical,21163999.0
8000,1985,To Live and Die in L.A.,https://www.the-numbers.com/movie/To-Live-and-Die-in-L-A,Action,Theatrical,17307019.0
8008,1985,Target,https://www.the-numbers.com/movie/Target,Thriller/Suspense,Theatrical,9023199.0
8009,1985,That Was Then… This is Now,https://www.the-numbers.com/movie/That-Was-Then-This-is-Now,Drama,Theatrical,8630068.0
8010,1985,Transylvania 6-5000,https://www.the-numbers.com/movie/Transylvania-6-5000,Comedy,Theatrical,7200000.0
8014,1985,Once Bitten,https://www.the-numbers.com/movie/Once-Bitten,Comedy,Theatrical,9917242.0
8020,1985,King Solomon's Mines,https://www.the-numbers.com/movie/King-Solomons-Mines,Adventure,Theatrical,15057465.0
8021,1985,One Magic Christmas,https://www.the-numbers.com/movie/One-Magic-Christmas,Drama,Theatrical,13229514.0
8023,1985,White Nights,https://www.the-numbers.com/movie/White-Nights,Thriller/Suspense,Theatrical,42160849.0
8027,1985,Rocky IV,https://www.the-numbers.com/movie/Rocky-IV,Drama,Theatrical,300373716.0
8029,1985,Santa Claus,https://www.the-numbers.com/movie/Santa-Claus,Adventure,Theatrical,23721879.0
8031,1985,Young Sherlock Holmes,https://www.the-numbers.com/movie/Young-Sherlock-Holmes,Adventure,Theatrical,19739000.0
8034,1985,Runaway Train,https://www.the-numbers.com/movie/Runaway-Train,Action,Theatrical,7936012.0
8035,1985,Spies Like Us,https://www.the-numbers.com/movie/Spies-Like-Us,Adventure,Theatrical,60083467.0
8037,1985,A Chorus Line,https://www.the-numbers.com/movie/Chorus-Line-A,Musical,Theatrical,14477775.0
8039,1985,The Jewel of the Nile,https://www.the-numbers.com/movie/Jewel-of-the-Nile-The,Adventure,Theatrical,68275764.0
8042,1985,Clue,https://www.the-numbers.com/movie/Clue,Comedy,Theatrical,13377261.0
8044,1985,The Color Purple,https://www.the-numbers.com/movie/Color-Purple-The-(1985),Drama,Theatrical,94029472.0
8045,1985,Out of Africa,https://www.the-numbers.com/movie/Out-of-Africa-(1985),Drama,Theatrical,258210860.0
8047,1985,Enemy Mine,https://www.the-numbers.com/movie/Enemy-Mine,Adventure,Theatrical,12303411.0
8049,1985,The Trip to Bountiful,https://www.the-numbers.com/movie/Trip-to-Bountiful-The,Drama,Theatrical,7466662.0
8054,1985,Murphy's Romance,https://www.the-numbers.com/movie/Murphys-Romance,Romantic Comedy,Theatrical,30762621.0
8070,1986,Black Moon Rising,https://www.the-numbers.com/movie/Black-Moon-Rising,Action,Theatrical,6637565.0
8083,1986,Iron Eagle,https://www.the-numbers.com/movie/Iron-Eagle,Action,Theatrical,24159872.0
8095,1986,The Best of Times,https://www.the-numbers.com/movie/Best-of-Times-The,Comedy,Theatrical,7790931.0
8096,1986,Down and Out in Beverly Hills,https://www.the-numbers.com/movie/Down-and-Out-in-Beverly-Hills,Comedy,Theatrical,62134225.0
8102,1986,Youngblood,https://www.the-numbers.com/movie/Youngblood,Drama,Theatrical,15448400.0
8108,1986,F/X,https://www.the-numbers.com/movie/FX,Action,Theatrical,20603715.0
8109,1986,Hannah and Her Sisters,https://www.the-numbers.com/movie/Hannah-and-Her-Sisters,Romantic Comedy,Theatrical,40084041.0
8113,1986,The Delta Force,https://www.the-numbers.com/movie/Delta-Force-The,Action,Theatrical,17005599.0
8116,1986,Quicksilver,https://www.the-numbers.com/movie/Quicksilver,Drama,Theatrical,7634909.0
8120,1986,Wildcats,https://www.the-numbers.com/movie/Wildcats,Comedy,Theatrical,26285544.0
8130,1986,The Hitcher,https://www.the-numbers.com/movie/Hitcher-The,Horror,Theatrical,5844868.0
8131,1986,Nine 1/2 Weeks,https://www.the-numbers.com/movie/Nine-1-2-Weeks,Thriller/Suspense,Theatrical,6734844.0
8133,1986,House,https://www.the-numbers.com/movie/House-(1986),Horror,Theatrical,22144631.0
8134,1986,Pretty in Pink,https://www.the-numbers.com/movie/Pretty-in-Pink,Romantic Comedy,Theatrical,40476156.0
8138,1986,Care Bears Movie II: A New Generation,https://www.the-numbers.com/movie/Care-Bears-Movie-II-A-New-Generation,Adventure,Theatrical,8540346.0
8140,1986,Highlander,https://www.the-numbers.com/movie/Highlander,Action,Theatrical,12900000.0
8143,1986,A Room with a View,https://www.the-numbers.com/movie/Room-with-a-View-A,Drama,Theatrical,21042007.0
8145,1986,The Boys Next Door,https://www.the-numbers.com/movie/Boys-Next-Door-The,Drama,Theatrical,5000000.0
8146,1986,Crossroads,https://www.the-numbers.com/movie/Crossroads-(1986),Drama,Theatrical,5877721.0
8148,1986,Gung Ho,https://www.the-numbers.com/movie/Gung-Ho,Comedy,Theatrical,36611610.0
8154,1986,Just Between Friends,https://www.the-numbers.com/movie/Just-Between-Friends,Drama,Theatrical,6408791.0
8155,1986,Police Academy 3: Back in Training,https://www.the-numbers.com/movie/Police-Academy-3-Back-in-Training,Comedy,Theatrical,43579163.0
8158,1986,The Money Pit,https://www.the-numbers.com/movie/Money-Pit-The,Comedy,Theatrical,37499651.0
8160,1986,April Fool's Day,https://www.the-numbers.com/movie/April-Fools-Day,Horror,Theatrical,12947763.0
8163,1986,Lucas,https://www.the-numbers.com/movie/Lucas,Comedy,Theatrical,8200000.0
8168,1986,Critters,https://www.the-numbers.com/movie/Critters,Horror,Theatrical,13167232.0
8176,1986,Legend,https://www.the-numbers.com/movie/Legend-(1986),Adventure,Theatrical,23506237.0
8177,1986,Murphy's Law,https://www.the-numbers.com/movie/Murphys-Law,Action,Theatrical,9947631.0
8179,1986,Wise Guys,https://www.the-numbers.com/movie/Wise-Guys,Black Comedy,Theatrical,8475466.0
8193,1986,Blue City,https://www.the-numbers.com/movie/Blue-City,Action,Theatrical,6947000.0
8194,1986,"Jo Jo Dancer, Your Life is Calling",https://www.the-numbers.com/movie/Jo-Jo-Dancer-Your-Life-is-Calling,Drama,Theatrical,18034150.0
8202,1986,Short Circuit,https://www.the-numbers.com/movie/Short-Circuit,Comedy,Theatrical,40697761.0
8204,1986,Sweet Liberty,https://www.the-numbers.com/movie/Sweet-Liberty,Comedy,Theatrical,14205021.0
8206,1986,Top Gun,https://www.the-numbers.com/movie/Top-Gun,Action,Theatrical,357463748.0
8208,1986,Cobra,https://www.the-numbers.com/movie/Cobra,Action,Theatrical,49042224.0
8209,1986,Poltergeist II: The Other Side,https://www.the-numbers.com/movie/Poltergeist-II-The-Other-Side,Horror,Theatrical,40996665.0
8215,1986,Invaders from Mars,https://www.the-numbers.com/movie/Invaders-from-Mars,Horror,Theatrical,5040176.0
8216,1986,My Little Pony: The Movie,https://www.the-numbers.com/movie/My-Little-Pony-The-Movie-(1986),Adventure,Theatrical,5958456.0
8217,1986,Raw Deal,https://www.the-numbers.com/movie/Raw-Deal,Action,Theatrical,16209459.0
8218,1986,SpaceCamp,https://www.the-numbers.com/movie/SpaceCamp,Adventure,Theatrical,9697739.0
8220,1986,Ferris Bueller’s Day Off,https://www.the-numbers.com/movie/Ferris-Buellers-Day-Off,Comedy,Theatrical,70177637.0
8222,1986,Back to School,https://www.the-numbers.com/movie/Back-to-School,Comedy,Theatrical,91258000.0
8225,1986,Mona Lisa,https://www.the-numbers.com/movie/Mona-Lisa,Thriller/Suspense,Theatrical,5794000.0
8228,1986,Legal Eagles,https://www.the-numbers.com/movie/Legal-Eagles,Comedy,Theatrical,49851591.0
8230,1986,"The Karate Kid, Part II",https://www.the-numbers.com/movie/Karate-Kid-Part-II-The,Action,Theatrical,115103979.0
8233,1986,Labyrinth,https://www.the-numbers.com/movie/Labyrinth,Adventure,Theatrical,13059617.0
8234,1986,Running Scared,https://www.the-numbers.com/movie/Running-Scared-(1986),Comedy,Theatrical,38500726.0
8235,1986,Ruthless People,https://www.the-numbers.com/movie/Ruthless-People,Black Comedy,Theatrical,71624879.0
8240,1986,About Last Night...,https://www.the-numbers.com/movie/About-Last-Night,Comedy,Theatrical,38702310.0
8241,1986,Big Trouble in Little China,https://www.the-numbers.com/movie/Big-Trouble-in-Little-China,Action,Theatrical,11208967.0
8242,1986,Pirates,https://www.the-numbers.com/movie/Pirates,,Theatrical,6341825.0
8244,1986,The Great Mouse Detective,https://www.the-numbers.com/movie/Great-Mouse-Detective-The,Adventure,Theatrical,23605534.0
