,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
59,https://www.the-numbers.com/movie/Cloak-and-Dagger,[],"[['Richard Franklin', 'Director'], ['Tom Holland', 'Screenwriter'], ['Cornell Woolrich', 'Story Creator']]","$2,862,025 (29.4% of total gross)",3.40 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,147 opening theaters/1,147 max. theaters, 2.4 weeks average run per theater","$26,527,361",,"August 10th, 1984 (Wide) by Universal",,,101 minutes,,Create your own comparison chart…,"Kid Spies, Same Actor, Multiple Roles, Video Game, Action Adventure, Secret Agent, FBI, Witnessing a Crime, Unbelieving Police, Imaginary Friend",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,United States,,,"$9,719,952",,,,
60,https://www.the-numbers.com/movie/Red-Dawn,[],"[['John Milius', 'Director']]","$8,239,381 (21.2% of total gross)",4.72 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,822 opening theaters/1,822 max. theaters, 6.0 weeks average run per theater","$106,164,575",,"August 10th, 1984 (Wide) by MGM/UA Classics",1985 by MGM Video,,,Red Dawn,vs. HannaCreate your own comparison chart…,"Action Adventure, Coming of Age, Occupying Army, World War III, Guerilla Warfare, Commies, Set in Colorado",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,,,"$38,900,000","$115,701","$115,701",,
61,https://www.the-numbers.com/movie/Woman-in-Red-The,[],"[['Gene Wilder', 'Director'], ['John Morris', 'Composer']]","$3,165,833 (12.5% of total gross)",7.07 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,066 opening theaters/1,069 max. theaters, 7.6 weeks average run per theater","$69,070,146",,"August 15th, 1984 (Wide) by Orion Pictures","January 7th, 2003 by MGM Video",,86 minutes,,Create your own comparison chart…,"Romantic Comedy, Romance, Relationships Gone Wrong, Infidelity, The Other Woman, Obsessive Love",Remake,Romantic Comedy,Live Action,Contemporary Fiction,,United States,,,"$25,308,147",,,,
62,https://www.the-numbers.com/movie/Dreamscape,[],"[['Joseph Ruben', 'Director']]","$2,257,627 (18.6% of total gross)",5.37 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"816 opening theaters/816 max. theaters, 4.7 weeks average run per theater","$33,067,579",,"August 17th, 1984 (Wide) by 20th Century Fox","April 6th, 2010 by Imagine Entertainment",,,,Create your own comparison chart…,,Original Screenplay,Adventure,Live Action,Science Fiction,,United States,,,"$12,116,365",,,,
63,https://www.the-numbers.com/movie/Sheena,"['Ted Wass', 'Donovan Scott', 'Tanya Roberts']","[['John Guillermin', 'Director'], ['David Newman', 'Screenwriter'], ['Lorenzo Semple Jr.', 'Screenwriter'], ['David Zelag Goodman', 'Screenwriter'], ['Leslie Stevens', 'Screenwriter']]","$2,950,114 (51.1% of total gross)",1.96 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,496 opening theaters/1,496 max. theaters, 1.9 weeks average run per theater","$15,770,080","$25,000,000 (worldwide box office is 0.2 times production budget)","August 17th, 1984 (Wide) by Sony Pictures","December 4th, 2001 by Mill Creek Entertainment",,117 minutes,,vs. KicksCreate your own comparison chart…,,Based on Comic/Graphic Novel,Adventure,Live Action,Contemporary Fiction,,"United Kingdom, United States",English,,"$5,778,353",,,,
64,https://www.the-numbers.com/movie/Tightrope,[],"[['Richard Tuggle', 'Director'], ['Richard Tuggle', 'Screenwriter']]","$9,156,545 (19.0% of total gross)",5.25 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,535 opening theaters/1,535 max. theaters, 7.0 weeks average run per theater","$131,272,915",,"August 17th, 1984 (Wide) by Warner Bros.",,R,,,vs. Pale RiderCreate your own comparison chart…,"Film Noir, Crime Thriller, Crime, Directing Yourself, Prostitution, Corrupt Cops, Police Detective, Serial Killer, LGBTQ+, Revenge, Sex Crimes, Erotic Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,United States,English,,"$48,100,000",,,,
65,https://www.the-numbers.com/movie/Oxford-Blues,"['Julian Sands', 'Michael Gough', 'Cary Elwes', 'Rob Lowe', 'Amanda Pays', 'Ally Sheedy']","[['Robert Boris', 'Director'], ['Robert Boris', 'Screenwriter']]","$2,486,418 (28.3% of total gross)",3.54 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,075 opening theaters/1,075 max. theaters, 3.1 weeks average run per theater","$23,997,560",,"August 24th, 1984 (Wide) by MGM/UA Classics",,,97 minutes,,vs. Revenge of the NerdsCreate your own comparison chart…,"Comedy Drama, Romance, 1950s, Set in United Kingdom, Miscellaneous Racing, Love Triangle, Coming of Age",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United Kingdom,,,"$8,793,000",,,,
66,https://www.the-numbers.com/movie/Bolero,[],"[['John Derek', 'Director'], ['John Derek', 'Screenwriter']]","$4,579,240 (50.9% of total gross)",1.97 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,015 opening theaters/1,015 max. theaters, 2.8 weeks average run per theater","$24,562,496",,"August 31st, 1984 (Wide) by Cannon",,,,,vs. The Man Who Wasn't ThereCreate your own comparison chart…,"Erotic Drama, Famously Bad, Loss Of Virginity, Romani, Romance, Bullfighting, Family Affair",Original Screenplay,Drama,Live Action,Historical Fiction,,United States,,,"$9,000,000",,,,
67,https://www.the-numbers.com/movie/Ninja-III-The-Domination,"['James Hong', 'Sho Kosugi', 'Lucinda Dickey']","[['Sam Firstenberg', 'Director'], ['James R. Silke', 'Screenwriter']]","$1,727,546 (22.7% of total gross)",4.41 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"530 opening theaters/530 max. theaters, 4.3 weeks average run per theater","$20,771,095",,"September 14th, 1984 (Wide) by Cannon","June 12th, 2018 by Shout Factory",,92 minutes,Ninja,Create your own comparison chart…,"Martial Arts, Action Horror, Ninja, Possessed, Exorcism, Revenge, Cult Movie",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,,,"$7,610,785","$296,204","$296,204",,
68,https://www.the-numbers.com/movie/Soldiers-Story-A,[],"[['Norman Jewison', 'Director'], ['Charles Fuller', 'Screenwriter'], ['Charles Fuller', 'Story Creator']]","$156,383 (0.7% of total gross)",10.33 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"5 opening theaters/581 max. theaters, 9.0 weeks average run per theater","$60,084,774",,"September 14th, 1984 (Wide) by Sony Pictures",,,101 minutes,,Create your own comparison chart…,"World War II, Crime Drama, Murder Mystery, African Americans, Bigotry, 1940s, Set in Louisiana, Novel or Other Work Adapted by Author, 1985 Oscars Best Picture Nominee",Based on Play,Drama,Live Action,Historical Fiction,,United States,,,"$22,100,000",,,,
