,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Video Release:,MPAA Rating:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,International Releases:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
100,https://www.the-numbers.com/movie/Iron-Eagle-II,[],"[['Sidney J. Furie', 'Director'], ['Kevin Alyn Elders', 'Screenwriter'], ['Sidney J. Furie', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$22,311,435","$3,530,016 (35.3% of total gross)",2.83 (domestic box office/biggest weekend),"874 opening theaters/878 max. theaters, 2.0 weeks average run per theater",,"November 11th, 1988 (Wide) by Sony/TriStar",,,100 minutes,vs. Top GunCreate your own comparison chart…,"Action Thriller, In a Plane, Weapons of Mass Destruction, Terrorism",Original Screenplay,Action,Live Action,Contemporary Fiction,,"Canada, Israel",English,Iron Eagle,,"$10,000,000",,,,
101,https://www.the-numbers.com/movie/Mujeres-al-borde-de-un-ataque-de-nervios,"['Carmen Maura', 'Antonio Banderas']","[['Pedro Almodovar', 'Director'], ['Pedro Almodovar', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$16,196,045",,36.20 (domestic box office/biggest weekend),,,"November 11th, 1988 (Wide) by Sony Pictures Classics, released as Women on the Verge of a Nervous Breakdown","November 3rd, 2009 by Sony Pictures Home Entertainment, released as Women on the Verge of a Nervous Breakdown",R,89 minutes,Create your own comparison chart…,"Relationships Gone Wrong, Black Comedy, TV Industry, Suicide, Terrorism, Pregnant Women, Mental Illness",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,,Spain,Spanish,Viva Pedro Box,"December 26th, 1988 (Limited), released as Women on the Verge of a Nervous Breakdown (Australia)
November 3rd, 2022 (Limited), released as Women on the Verge of a Nervous Breakdown (Женщины на грани нервного срыва) (Russia (CIS))
June 15th, 2023 (Limited), released as Donne sull'orlo di una crisi di nervi (Italy)
","$7,179,000",,,$549,"$7,179,549"
102,https://www.the-numbers.com/movie/1969,"['Bruce Dern', 'Winona Ryder', 'Joanna Cassidy', 'Robert Downey, Jr.', 'Kiefer Sutherland', 'Mariette Hartley']","[['Ernest Thompson', 'Director'], ['Ernest Thompson', 'Screenwriter'], ['Daniel Grodnik', 'Producer'], ['Bill Badalato', 'Producer'], ['Thomas Coleman', 'Executive Producer'], ['Marcia Hinds', 'Production Designer'], ['William Anderson', 'Editor'], ['Michael Small', 'Composer'], ['Jules Brenner', 'Director of Photography']]",100.0% (domestic box office/worldwide),"$15,202,106","$1,706,120 (28.5% of total gross)",3.50 (domestic box office/biggest weekend),"521 opening theaters/521 max. theaters, 1.0 weeks average run per theater",,"November 18th, 1988 (Wide) by Atlantic",,R,93 minutes,Create your own comparison chart…,"Vietnam War, Historical Drama, You Can't Go Home Again, 1960s, Dysfunctional Family, Voiceover/Narration, Epilogue, Political Protest",Original Screenplay,Drama,Live Action,Historical Fiction,Atlantic Entertainment Group,United States,,,,"$5,979,011",,,,
103,https://www.the-numbers.com/movie/Fresh-Horses,[],"[['David Anspaugh', 'Director'], ['Larry Ketron', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$14,815,556","$3,074,292 (46.3% of total gross)",2.16 (domestic box office/biggest weekend),"1,272 opening theaters/1,276 max. theaters, 2.0 weeks average run per theater",,"November 18th, 1988 (Wide) by Sony Pictures",,,105 minutes,Create your own comparison chart…,"Coming-of-Age Drama, Coming of Age, Romance, Cross-Class Romance, Relationships Gone Wrong, Epilogue",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,English,,,"$6,640,346",,,,
104,https://www.the-numbers.com/movie/High-Spirits,[],"[['Neil Jordan', 'Director'], ['Neil Jordan', 'Screenwriter'], ['George Fenton', 'Composer']]",100.0% (domestic box office/worldwide),"$19,139,257","$3,308,250 (38.6% of total gross)",2.59 (domestic box office/biggest weekend),"825 opening theaters/826 max. theaters, 3.0 weeks average run per theater",,"November 18th, 1988 (Wide) by Sony Pictures",,,99 minutes,Create your own comparison chart…,"Farcical / Slapstick Comedy, Inheritance, Money Troubles, Haunting, Haunted House, Romance, Friendly Ghost",Original Screenplay,Comedy,Live Action,Fantasy,,United Kingdom,,,,"$8,578,231",,,,
105,https://www.the-numbers.com/movie/Land-Before-Time-The,[],"[['Don Bluth', 'Director'], ['Don Bluth', 'Producer'], ['Gary Oldman', 'Producer'], ['John Pomeroy', 'Producer'], ['Steven Spielberg', 'Executive Producer'], ['George Lucas', 'Executive Producer'], ['Frank Marshall', 'Executive Producer'], ['Kathleen Kennedy', 'Executive Producer'], ['James Horner', 'Composer'], ['Judy Freudberg', 'Story Creator'], ['Tony Geiss', 'Story Creator'], ['Stu Krieger', 'Screenwriter']]",58.7% (domestic box office/worldwide),"$107,635,929","$7,526,025 (15.6% of total gross)",5.93 (domestic box office/biggest weekend),"1,395 opening theaters/1,414 max. theaters, 7.6 weeks average run per theater","$12,300,000 (worldwide box office is 6.7 times production budget)","November 18th, 1988 (Wide) by Universal","February 20th, 1996 by Universal Home Entertainment",G,69 minutes,vs. PocahontasCreate your own comparison chart…,,Original Screenplay,Adventure,Hand Animation,Historical Fiction,Amblin Entertainment,United States,English,The Land Before Time,"September 21st, 1989 (Wide) (Australia)
","$48,092,846",,,"$33,880,000","$81,972,846"
106,https://www.the-numbers.com/movie/Oliver-and-Company,[],"[['George Scribner', 'Director']]",100.0% (domestic box office/worldwide),"$111,230,569","$4,022,752 (8.1% of total gross)",6.70 (domestic box office/biggest weekend),"952 opening theaters/2,189 max. theaters, 12.0 weeks average run per theater",,"November 18th, 1988 (Wide) by Walt Disney","May 14th, 2002 by Walt Disney Home Entertainment",G,,vs. The Little MermaidCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Hand Animation,Kids Fiction,,United States,,,,"$49,576,671",,,,
107,https://www.the-numbers.com/movie/Cocoon-The-Return,[],"[['James Horner', 'Composer']]",100.0% (domestic box office/worldwide),"$42,627,038","$5,568,143 (29.4% of total gross)",3.40 (domestic box office/biggest weekend),"986 opening theaters/986 max. theaters, 3.5 weeks average run per theater",,"November 23rd, 1988 (Wide) by 20th Century Fox",,PG,116 minutes,vs. The Lord of the Rings: The Return of the KingCreate your own comparison chart…,,Based on Fiction Book/Short Story,Adventure,Live Action,Science Fiction,,United States,English,Cocoon,,"$18,924,919",,,,
108,https://www.the-numbers.com/movie/Scrooged,[],"[['Richard Donner', 'Director'], ['Danny Elfman', 'Composer']]",100.0% (domestic box office/worldwide),"$132,946,486","$13,027,842 (21.9% of total gross)",4.56 (domestic box office/biggest weekend),"1,262 opening theaters/1,897 max. theaters, 6.2 weeks average run per theater","$32,000,000 (worldwide box office is 1.9 times production budget)","November 23rd, 1988 (Wide) by Paramount Pictures","November 1st, 2011 by Warner Home Video",PG-13,,vs. Just VisitingCreate your own comparison chart…,"Christmas, TV Industry, Modern Adaptation, Christmas in November, Gratuitous Cameos, Breaking the Fourth Wall, Haunting, Dysfunctional Family, Relationships Gone Wrong, Boss From Hell, Homeless, Time Travel, Farcical / Slapstick Comedy",Based on Fiction Book/Short Story,Comedy,Live Action,Fantasy,,United States,,,"December 1st, 1988 (Wide) (Australia)
","$59,450,353",,,$443,"$59,450,796"
109,https://www.the-numbers.com/movie/Naked-Gun-From-the-Files-of-Police-Squad-The,[],"[['David Zucker', 'Director']]",100.0% (domestic box office/worldwide),"$175,669,378","$9,331,746 (12.0% of total gross)",8.36 (domestic box office/biggest weekend),"1,576 opening theaters/1,969 max. theaters, 8.7 weeks average run per theater",,"December 2nd, 1988 (Wide) by Paramount Pictures",,PG-13,85 minutes,vs. The Naked Gun 2½: The Smell of FearCreate your own comparison chart…,"Spoof, Film Noir, Hitmen, Royalty, Breaking the Fourth Wall, Police Procedural, Voiceover/Narration, Crime Comedy",Based on TV,Comedy,Live Action,Contemporary Fiction,,United States,English,Naked Gun,,"$78,041,829",,,,
