,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Opening Weekend:,Legs:,Theater counts:,Production Budget:,Domestic Releases:,Comparisons:,Production Countries:,Video Release:,Running Time:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
53,https://www.the-numbers.com/movie/Under-the-Rainbow,[],"[['Steve Rash', 'Director'], ['Pat McCormick', 'Screenwriter'], ['Harry Hurwitz', 'Screenwriter'], ['Martin Smith', 'Screenwriter'], ['Pat Bradley', 'Screenwriter'], ['Fred Bauer', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$62,100,322","$2,287,205 (12.1% of total gross)",6.93 (domestic box office/biggest weekend),"488 opening theaters/792 max. theaters, 4.8 weeks average run per theater","$20,000,000 (worldwide box office is 0.9 times production budget)","July 31st, 1981 (Wide) by Warner Bros.",vs. History of the World: Part ICreate your own comparison chart…,United States,,97 minutes,"Farcical / Slapstick Comedy, Famously Bad, 1930s, Set in Hollywood, Dwarfism",Original Screenplay,Comedy,Live Action,Historical Fiction,,,,,,"$18,826,490",,,,
54,https://www.the-numbers.com/movie/Victory,"['Max von Sydow', 'Sylvester Stallone', 'Michael Caine', 'Pelé']","[['John Huston', 'Director'], ['Freddie Fields', 'Producer'], ['Yabo Yablonsky', 'Story by'], ['Djordje Milićević', 'Story by'], ['Jeff Maguire', 'Story by'], ['Evan Jones', 'Screenwriter'], ['Gerry Fisher', 'Director of Photography'], ['Bill Conti', 'Composer']]",39.5% (domestic box office/worldwide),"$35,799,277","$2,488,808 (22.9% of total gross)",4.36 (domestic box office/biggest weekend),"692 opening theaters/692 max. theaters, 2.5 weeks average run per theater",,"July 31st, 1981 (Wide) by Paramount Pictures",vs. First BloodCreate your own comparison chart…,United States,"November 9th, 2010 by Warner Home Video",116 minutes,"Soccer, War, World War II, Sports Action, POW, Prison Break, 1940s, Set in Paris, Set in France, Based on an UNTRUE Story, Remake, Foreign-Language Remake",Original Screenplay,Action,Live Action,Historical Fiction,"Lorimar Film Entertainment, Freddie Fields Productions",English,,,R for some violence and sexuality. ,"$10,853,000","$16,600,000","$27,453,000",,
55,https://www.the-numbers.com/movie/Eye-for-an-Eye-An,"['Christopher Lee', 'Richard Roundtree', 'Matt Clark', 'Mako', 'Rosalind Chao', 'Chuck Norris']","[['Steve Carver', 'Director'], ['James Bruner', 'Screenwriter'], ['William Gray', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$24,728,253","$1,811,470 (24.2% of total gross)",4.14 (domestic box office/biggest weekend),"398 opening theaters/593 max. theaters, 2.6 weeks average run per theater",,"August 7th, 1981 (Wide) by Avco Embassy",Create your own comparison chart…,United States,,105 minutes,"Action Thriller, Undercover, Set in San Francisco, Police Detective, Death of a Partner, Revenge, Organized Crime, Narcotics, Drug Dealer, Confidential Informant, Investigative Journalist",Original Screenplay,Action,Live Action,Contemporary Fiction,,,,,,"$7,496,681",,,,
56,https://www.the-numbers.com/movie/Heavy-Metal-(1981),[],[],100.0% (domestic box office/worldwide),"$64,556,433","$3,261,186 (16.7% of total gross)",6.00 (domestic box office/biggest weekend),"620 opening theaters/752 max. theaters, 5.5 weeks average run per theater","$9,300,000 (worldwide box office is 2.1 times production budget)","August 7th, 1981 (Wide) by ColumbiaMarch 8th, 1996 (Wide) by Sony Pictures, released as Heavy Metal (1981) (Re-Release)",vs. The Hitchhiker's Guide to the GalaxyCreate your own comparison chart…,"Canada, United States","August 5th, 2008 by Sony Pictures Home Entertainment",,"Segments, Voiceover/Narration, Good vs. Evil",Based on Comic/Graphic Novel,Adventure,Rotoscoping,Science Fiction,,,,,,"$19,571,091",,,,
57,https://www.the-numbers.com/movie/Gallipoli,[],"[['Peter Weir', 'Director']]",100.0% (domestic box office/worldwide),"$18,909,283","$59,757 (1.0% of total gross)",16.40 (domestic box office/biggest weekend),"2 opening theaters/132 max. theaters, 4.3 weeks average run per theater","$3,000,000 (worldwide box office is 1.9 times production budget)","August 28th, 1981 (Wide) by Paramount Pictures",vs. TycoonCreate your own comparison chart…,Australia,"October 22nd, 1996 by Warner Home Video",110 minutes,"Historical Battles, World War I, War",Based on Factual Book/Article,Adventure,Live Action,Dramatization,,English,"August 13th, 1981 (Limited) (Australia)
",,,"$5,732,587",,,,
58,https://www.the-numbers.com/movie/Prince-of-the-City,['Treat Williams'],"[['Sidney Lumet', 'Director'], ['Robert Daley', 'Story based on the book by'], ['Jay Presson Allen', 'Screenwriter'], ['Sidney Lumet', 'Screenwriter'], ['Burtt Harris', 'Producer'], ['Jay Presson Allen', 'Executive Producer']]",100.0% (domestic box office/worldwide),"$29,687,050","$64,713 (0.7% of total gross)",15.65 (domestic box office/biggest weekend),"3 opening theaters/307 max. theaters, 5.3 weeks average run per theater",,"August 19th, 1981 (Wide) by Warner Bros.",Create your own comparison chart…,United States,"October 26th, 2006 by Warner Home Video",167 minutes,"Corrupt Cops, Crime Drama, Film Noir, Addiction, Organized Crime, Death of a Partner, Suicide, Internal Affairs, NYPD, Police Detective, Set in New York City, Set in New York, Ensemble",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,English,,,,"$9,000,000",,,,
59,https://www.the-numbers.com/movie/American-Werewolf-in-London-An,[],"[['John Landis', 'Director']]",51.6% (domestic box office/worldwide),"$105,465,711","$3,786,512 (11.8% of total gross)",8.44 (domestic box office/biggest weekend),"870 opening theaters/870 max. theaters, 4.7 weeks average run per theater",,"August 21st, 1981 (Wide) by Universal",vs. Catch Me if You CanCreate your own comparison chart…,"United Kingdom, United States","September 18th, 2001 by Universal Home Entertainment",97 minutes,"Monster, Werewolf, Visual Effects, Set in London, Vacation, Horror Comedy, Tourists In Trouble, Death of a Best Friend, Suicide Attempt, Romance, Doomed Romance, Death of a Girlfriend / Boyfriend, Curses, Supernatural",Original Screenplay,Horror,Live Action,Contemporary Fiction,"Polygram Pictures, Lycanthrope Films",English,"November 12th, 1981 (Limited) (United Kingdom)
April 8th, 1982 (Limited) (Australia)
October 30th, 2020 (Limited) (United Kingdom)
",American Werewolf,,"$31,973,249","$29,995,139","$61,968,388",,
60,https://www.the-numbers.com/movie/First-Monday-in-October,[],"[['Ronald Neame', 'Director']]",100.0% (domestic box office/worldwide),"$39,582,727","$2,714,682 (22.6% of total gross)",4.42 (domestic box office/biggest weekend),"525 opening theaters/525 max. theaters, 4.0 weeks average run per theater",,"August 21st, 1981 (Wide) by Paramount Pictures",vs. An American Werewolf in LondonCreate your own comparison chart…,United States,,,,,,,,,,,,,"$12,000,000",,,,
61,https://www.the-numbers.com/movie/Body-Heat,"['Richard Crenna', 'William Hurt', 'Kathleen Turner']","[['Lawrence Kasdan', 'Director'], ['Lawrence Kasdan', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$79,356,777","$564,593 (2.3% of total gross)",7.95 (domestic box office/biggest weekend),"34 opening theaters/814 max. theaters, 7.9 weeks average run per theater",,"August 28th, 1981 (Wide) by Warner Bros.",vs. DriveCreate your own comparison chart…,United States,"November 19th, 1997 by Warner Home Video",113 minutes,"Surprise Twist, Film Noir, Erotic Thriller, Romance, Relationships Gone Wrong, Mistaken Identity, Infidelity",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,,,,,"$24,058,000",,,,
62,https://www.the-numbers.com/movie/Private-Lessons,[],"[['Alan Myerson', 'Director'], ['Dan Greenburg', 'Screenwriter'], ['Dan Greenburg', 'Story Creator']]",100.0% (domestic box office/worldwide),"$58,660,848","$1,177,841 (6.5% of total gross)",14.44 (domestic box office/biggest weekend),"134 opening theaters/224 max. theaters, 8.0 weeks average run per theater",,"August 28th, 1981 (Wide) by Jensen Farley Pictures",vs. An American Werewolf in LondonCreate your own comparison chart…,United States,"May 13th, 2014 by Cinema Epoch Video",87 minutes,"Sex Comedy, Novel or Other Work Adapted by Author, Blackmail, February / May Romance, Romance, Relationships Gone Wrong, Immigration",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,,"July 24th, 1982 (Limited) (South Korea)
",,,"$18,064,851","$1,923","$18,066,774",,
