,id,date,rank,gross,pct_change,theaters,per_theater,total_gross,kind,kind_num,pct_lw
3,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/18,13,"$6,883",+17%,6,"$1,147","  $840,235",weekend,9,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/05/25,13,"$3,847",-44%,3,"$1,282","  $853,655",weekend,10,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/06/01,15,"$2,553",-34%,3,$851,"  $864,441",weekend,11,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Brazil#tab=box-office,2012/06/08,20,$47,-98%,1,$47,"  $47,928",weekend,12,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/04/27,12,"$50,650", ,12,"$4,221","  $50,650",weekend,1,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/04,16,"$35,465",-30%,12,"$2,955","  $127,338",weekend,2,
2,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/11,14,"$27,730",-22%,11,"$2,521","  $179,712",weekend,3,
3,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/18,18,"$18,324",-34%,6,"$3,054","  $215,780",weekend,4,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/05/25,19,"$12,258",-33%,6,"$2,043","  $237,522",weekend,5,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/01,21,"$6,157",-50%,5,"$1,231","  $249,446",weekend,6,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/08,17,"$3,993",-35%,4,$998,"  $232,771",weekend,7,
7,https://www.the-numbers.com/movie/Pina-(Germany)/Mexico#tab=box-office,2012/06/15,23,"$2,809",-30%,4,$702,"  $237,972",weekend,8,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Portugal#tab=box-office,2017/10/13,-,$472, ,1,$472,"  $174,046",weekend,336,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Spain#tab=box-office,2012/05/04,26,$540, ,2,$270,"  $678,394",weekend,32,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/08,9,"$7,516", ,1,"$7,516","  $9,399",weekend,1,
1,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/15,7,"$10,964",+46%,1,"$10,964","  $35,450",weekend,2,
2,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/22,8,"$8,500",-22%,2,"$4,250","  $70,319",weekend,3,
3,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/06/29,8,"$5,015",-41%,2,"$2,508","  $87,331",weekend,4,
4,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/06,6,"$3,315",-34%,1,"$3,315","  $93,677",weekend,5,
5,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/13,7,"$2,070",-38%,1,"$2,070","  $100,421",weekend,6,
6,https://www.the-numbers.com/movie/Pina-(Germany)/Taiwan#tab=box-office,2012/07/20,7,$763,-63%,1,$763,"  $107,982",weekend,7,
0,https://www.the-numbers.com/movie/Pina-(Germany)/Venezuela#tab=box-office,2012/04/27,17,$173, ,"2,462",$0,"  $50,481",weekend,1,
0,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/09/21,4,"$15,201", ,7,"$2,172","  $15,201",weekend,1,
1,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/09/28,6,"$8,828",-42%,7,"$1,261","  $61,929",weekend,2,
2,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/10/05,6,"$12,773",+45%,7,"$1,825","  $102,707",weekend,3,
0,https://www.the-numbers.com/movie/Beastly/United-Arab-Emirates#tab=box-office,2012/08/03,2,"$43,588", ,24,"$1,816","  $43,588",weekend,1,
0,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/09/21,4,"$15,201", ,7,"$2,172","  $15,201",weekend,1,
1,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/09/28,6,"$8,828",-42%,7,"$1,261","  $61,929",weekend,2,
2,https://www.the-numbers.com/movie/Beastly/Ecuador#tab=box-office,2012/10/05,6,"$12,773",+45%,7,"$1,825","  $102,707",weekend,3,
0,https://www.the-numbers.com/movie/Beastly/United-Arab-Emirates#tab=box-office,2012/08/03,2,"$43,588", ,24,"$1,816","  $43,588",weekend,1,
0,https://www.the-numbers.com/movie/Rango/Lithuania#tab=box-office,2012/08/03,15,$51, ,3,$17,"  $134,786",weekend,73,
0,https://www.the-numbers.com/movie/Rango/Lithuania#tab=box-office,2012/08/03,15,$51, ,3,$17,"  $134,786",weekend,73,
0,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/06/15,6,"$11,280", ,16,$705,"  $11,280",weekend,1,
1,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/07/06,6,"$1,185", ,13,$91,"  $36,235",weekend,4,
2,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/07/13,7,$279,-76%,1,$279,"  $37,353",weekend,5,
0,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/06/15,6,"$11,280", ,16,$705,"  $11,280",weekend,1,
1,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/07/06,6,"$1,185", ,13,$91,"  $36,235",weekend,4,
2,https://www.the-numbers.com/movie/Lincoln-Lawyer-The/Ecuador#tab=box-office,2012/07/13,7,$279,-76%,1,$279,"  $37,353",weekend,5,
0,https://www.the-numbers.com/movie/Potiche/Australia#tab=box-office,2015/09/04,61,"$1,163", ,1,"$1,163","  $506,591",weekend,229,
0,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/06/22,12,"$20,087", ,13,"$1,545","  $20,087",weekend,1,
1,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/06/29,8,"$9,657",-52%,12,$805,"  $38,140",weekend,2,
2,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/07/13,15,"$1,095", ,2,$548,"  $58,041",weekend,4,
3,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/07/20,16,"$1,587",+45%,3,$529,"  $60,370",weekend,5,
4,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/08/03,15,"$2,788", ,3,$929,"  $65,811",weekend,7,
5,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/08/10,18,"$1,138",-59%,3,$379,"  $68,976",weekend,8,
0,https://www.the-numbers.com/movie/Potiche/Australia#tab=box-office,2015/09/04,61,"$1,163", ,1,"$1,163","  $506,591",weekend,229,
0,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/06/22,12,"$20,087", ,13,"$1,545","  $20,087",weekend,1,
1,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/06/29,8,"$9,657",-52%,12,$805,"  $38,140",weekend,2,
2,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/07/13,15,"$1,095", ,2,$548,"  $58,041",weekend,4,
3,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/07/20,16,"$1,587",+45%,3,$529,"  $60,370",weekend,5,
4,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/08/03,15,"$2,788", ,3,$929,"  $65,811",weekend,7,
5,https://www.the-numbers.com/movie/Potiche/Mexico#tab=box-office,2012/08/10,18,"$1,138",-59%,3,$379,"  $68,976",weekend,8,
0,https://www.the-numbers.com/movie/Haevnen/Peru#tab=box-office,2012/04/27,15,"$2,009", ,2,"$1,005","  $19,989",weekend,9,
1,https://www.the-numbers.com/movie/Haevnen/Peru#tab=box-office,2012/05/04,13,"$2,659",+32%,2,"$1,330","  $24,547",weekend,10,
0,https://www.the-numbers.com/movie/Haevnen/Peru#tab=box-office,2012/04/27,15,"$2,009", ,2,"$1,005","  $19,989",weekend,9,
1,https://www.the-numbers.com/movie/Haevnen/Peru#tab=box-office,2012/05/04,13,"$2,659",+32%,2,"$1,330","  $24,547",weekend,10,
0,https://www.the-numbers.com/movie/Hop/Australia#tab=box-office,2021/03/26,-,$422, ,1,$422,"  $8,977,902",weekend,1,
