,url,cast,crew,Opening Weekend:,Legs:,Domestic Share:,Theater counts:,Infl. Adj. Dom. BO,Production Budget:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,Franchise:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
20,https://www.the-numbers.com/movie/Just-Between-Friends,[],"[['Allan Burns', 'Director'], ['Allan Burns', 'Screenwriter'], ['Allan Burns', 'Producer']]","$1,390,718 (21.7% of total gross)",4.61 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"352 opening theaters/387 max. theaters, 7.7 weeks average run per theater","$15,840,588",,"March 21st, 1986 (Wide) by Orion Pictures",,110 minutes,Create your own comparison chart…,"Life Drama, The Other Woman, Infidelity, Death of a Spouse or Fiancée / Fiancé, Death of a Girlfriend / Boyfriend, Pregnant Women, Single Parent, Entrepreneur",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,,,"$6,408,791",,,,
21,https://www.the-numbers.com/movie/Police-Academy-3-Back-in-Training,[],"[['Jerry Paris', 'Director']]","$9,049,568 (20.8% of total gross)",4.82 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,788 opening theaters/1,788 max. theaters, 7.8 weeks average run per theater","$107,714,534",,"March 21st, 1986 (Wide) by Warner Bros.","August 2nd, 1993 by Warner Home Video",83 minutes,vs. Police Academy 2: Their First AssignmentCreate your own comparison chart…,"Farcical / Slapstick Comedy, Police life, Beat Cops, Corrupt Cops, Government Corruption, Epilogue, Heist",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Warner Bros.,United States,English,Police Academy,PG,,"$43,579,163",,,,
22,https://www.the-numbers.com/movie/Money-Pit-The,"['Alexander Godunov', 'Maureen Stapleton', 'Tom Hanks', 'Shelley Long']","[['Richard Benjamin', 'Director'], ['Frank Marshall', 'Producer'], ['Kathleen Kennedy', 'Producer'], ['Art Levinson', 'Producer'], ['Steven Spielberg', 'Executive Producer'], ['David Giler', 'Executive Producer'], ['Gordon Willis', 'Director of Photography'], ['Michel Colombier', 'Composer'], ['David Giler', 'Screenwriter']]","$5,344,555 (14.3% of total gross)",7.02 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,189 opening theaters/1,193 max. theaters, 7.6 weeks average run per theater","$92,687,811",,"March 26th, 1986 (Wide) by Universal","February 4th, 2003 by Universal Home Entertainment",91 minutes,vs. SplashCreate your own comparison chart…,"Farcical / Slapstick Comedy, Confidence Men, Newlyweds, White Collar Crime, Surprise Twist, Romance, Relationships Gone Wrong",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Amblin Entertainment, Universal Pictures",United States,English,,PG,,"$37,499,651",,,,
23,https://www.the-numbers.com/movie/April-Fools-Day,"['Thomas F. Wilson', 'Deborah Foreman']","[['Fred Walton', 'Director'], ['Frank Mancuso Jr.', 'Producer'], ['Danilo Bach', 'Screenwriter'], ['Charles Bernstein', 'Composer']]","$3,373,779 (26.1% of total gross)",3.84 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,202 opening theaters/1,202 max. theaters, 2.9 weeks average run per theater","$36,470,113","$5,000,000 (worldwide box office is 2.6 times production budget)","March 27th, 1986 (Wide) by Paramount Pictures","September 3rd, 2002 by Paramount Home Video",89 minutes,vs. Halloween: The Curse of Michael MyersCreate your own comparison chart…,Slasher Horror,Original Screenplay,Horror,Live Action,Contemporary Fiction,"Paramount Pictures, Hometown",United States,English,,R,,"$12,947,763",,,,
24,https://www.the-numbers.com/movie/Lucas,"['Courtney Thorne-Smith', 'Winona Ryder', 'Jeremy Piven', 'Guy Boyd', 'Corey Haim', 'Kerri Green', 'Charlie Sheen']","[['David Seltzer', 'Director'], ['David Seltzer', 'Screenwriter']]","$1,250,101 (15.2% of total gross)",5.93 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"628 opening theaters/629 max. theaters, 6.1 weeks average run per theater","$20,267,919",,"March 28th, 1986 (Wide) by 20th Century Fox",,100 minutes,Create your own comparison chart…,"Football, Coming of Age, Comedy Drama, Romance, Relationships Gone Wrong, Cheerleaders, High School, Bullies, Sports Injury, Money Troubles, Addiction",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,,"$8,200,000",,,,
25,https://www.the-numbers.com/movie/Critters,[],"[['Stephen Herek', 'Director'], ['Stephen Herek', 'Screenwriter'], ['David Newman', 'Composer']]","$1,618,800 (12.3% of total gross)",8.13 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"540 opening theaters/633 max. theaters, 6.1 weeks average run per theater","$32,545,421",,"April 11th, 1986 (Wide) by New Line",,85 minutes,vs. GremlinsCreate your own comparison chart…,"Horror Comedy, Alien Invasion, Set in Kansas, Bounty Hunter, Cult Movie",Original Screenplay,Horror,Live Action,Science Fiction,,United States,English,Critters,,,"$13,167,232",,,,
26,https://www.the-numbers.com/movie/Legend-(1986),"['Tim Curry', 'David Bennent', 'Alice Playten', 'Billy Barty', 'Cork Hubbert', 'Tom Cruise', 'Mia Sara']","[['Ridley Scott', 'Director'], ['William Hjortsberg', 'Screenwriter'], ['Arnon Milchan', 'Producer'], ['Assheton Gorton', 'Production Designer'], ['Terry Rawlings', 'Editor'], ['Pam Power', 'Editor'], ['Christopher Franke', 'Composer'], ['Alex Thomson', 'Director of Photography']]","$4,261,154 (27.5% of total gross)",3.64 (domestic box office/biggest weekend),65.9% (domestic box office/worldwide),"1,187 opening theaters/1,187 max. theaters, 3.7 weeks average run per theater","$38,316,533","$25,000,000 (worldwide box office is 0.9 times production budget)","April 18th, 1986 (Wide) by Universal","June 2nd, 1998 by Universal Home Entertainment",89 minutes,vs. Blade RunnerCreate your own comparison chart…,Sword & Sorcerer,Original Screenplay,Adventure,Live Action,Fantasy,"Legend Productions, Regency Enterprises","United Kingdom, United States",English,,PG,,"$15,502,112","$8,004,125","$23,506,237",,
27,https://www.the-numbers.com/movie/Murphys-Law,[],"[['Jack Lee Thompson', 'Director'], ['Gail Morgan Hickman', 'Screenwriter']]","$3,388,907 (34.1% of total gross)",2.94 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,260 opening theaters/1,260 max. theaters, 3.9 weeks average run per theater","$24,587,539",,"April 18th, 1986 (Wide) by Cannon",,100 minutes,vs. My Best Friend's WeddingCreate your own comparison chart…,"Film Noir, Action Thriller, Relationships Gone Wrong, Strippers / Stripping, Police Detective, Framed, Addiction, Corrupt Cops, Organized Crime, Kidnap, Rescue, Unbelieving Police",Original Screenplay,Action,Live Action,Contemporary Fiction,,United States,,,,,"$9,947,631",,,,
28,https://www.the-numbers.com/movie/Wise-Guys,['Danny DeVito'],"[['Brian De Palma', 'Director'], ['George Gallo', 'Screenwriter'], ['Norman Steinberg', 'Screenwriter']]","$1,324,456 (15.6% of total gross)",6.40 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"338 opening theaters/424 max. theaters, 4.4 weeks average run per theater","$20,948,792",,"April 18th, 1986 (Wide) by MGM",,100 minutes,Create your own comparison chart…,"Black Comedy, Crime, Organized Crime, Mafia, Faked Death, Found Money, Gambling, Money Troubles",Original Screenplay,Black Comedy,Live Action,Contemporary Fiction,,United States,English,,,,"$8,475,466",,,,
29,https://www.the-numbers.com/movie/Blue-City,[],"[['Michelle Manning', 'Director'], ['Lukas Heller', 'Screenwriter'], ['Walter Hill', 'Screenwriter']]","$2,748,096 (39.6% of total gross)",2.53 (domestic box office/biggest weekend),100.0% (domestic box office/worldwide),"1,050 opening theaters/1,050 max. theaters, 3.1 weeks average run per theater","$17,170,880",,"May 2nd, 1986 (Wide) by Paramount Pictures",,83 minutes,vs. Blue StreakCreate your own comparison chart…,"Action Thriller, You Can't Go Home Again, Set in Florida, Young Child Dealing with the Death of a Parent, Film Noir, Romance, F-Rated",Based on Fiction Book/Short Story,Action,Live Action,Contemporary Fiction,,United States,English,,,,"$6,947,000",,,,
