,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,International Releases:,Franchise:,MPAA Rating:,Domestic Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales,International Box Office,Worldwide Box Office
53,https://www.the-numbers.com/movie/Stunt-Man-The,[],[],100.0% (domestic box office/worldwide),"$24,080,227",,,,,"June 27th, 1980 (Wide) by 20th Century Fox",,,Create your own comparison chart…,,,,,,,United States,,,,,"$7,063,886",,,,
54,https://www.the-numbers.com/movie/Airplane,[],"[['David Zucker', 'Director'], ['Jerry Zucker', 'Director'], ['Jim Abrahams', 'Director'], ['Jim Abrahams', 'Screenwriter'], ['David Zucker', 'Screenwriter'], ['Jerry Zucker', 'Screenwriter'], ['Jon Davison', 'Producer'], ['Jim Abrahams', 'Executive Producer'], ['David Zucker', 'Executive Producer'], ['Jerry Zucker', 'Executive Producer']]",100.0% (domestic box office/worldwide),"$284,486,595","$3,500,000 (worldwide box office is 23.8 times production budget)",,,,"July 4th, 1980 (Wide) by Paramount Pictures2020 (Canceled) by Fathom Events, released as Airplane! (1980)","April 25th, 2017 by Paramount Home Video",88 minutes,vs. CaddyshackCreate your own comparison chart…,"Spoof, Travel Industry, Epilogue, Disaster, In a Plane, Religious, Terminal Illness, War, Relationships Gone Wrong, Food, Non-Chronological, Breaking the Fourth Wall, Addiction, Mental Illness, Invented Language, Directing Yourself, Voiceover/Narration, Flight Attendant",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures, Howard W. Koch",United States,English,"November 19th, 2020 (Limited) (Australia)
",Airplane,PG,"$83,453,539",,,,
55,https://www.the-numbers.com/movie/My-Bodyguard,[],"[['Tony Bill', 'Director'], ['Alan Ormsby', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$76,642,622",,"$178,641 (0.8% of total gross)",16.39 (domestic box office/biggest weekend),"39 opening theaters/477 max. theaters, 1.1 weeks average run per theater","July 11th, 1980 (Wide) by 20th Century Fox","March 5th, 2013 by Fox Home Entertainment",96 minutes,vs. Porky'sCreate your own comparison chart…,"Comedy Drama, Bullies, Rumors, Death of a Sibling, Accidental Death, Surprise Twist",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,,,"$22,482,952",,,,
56,https://www.the-numbers.com/movie/Oh-Heavenly-Dog,[],"[['Joe Camp', 'Director'], ['Rod Browning', 'Screenwriter'], ['Joe Camp', 'Screenwriter'], ['Joe Camp', 'Producer']]",100.0% (domestic box office/worldwide),"$21,190,082",,"$323,320 (5.2% of total gross)",19.23 (domestic box office/biggest weekend),"114 opening theaters/114 max. theaters, 1.0 weeks average run per theater","July 11th, 1980 (Wide) by 20th Century Fox",,104 minutes,Create your own comparison chart…,"Crime Comedy, Private Investigator, Reincarnation, Animal Lead, Talking Animals, Political, Famously Bad",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,,,Benji,,"$6,216,067",,,,
57,https://www.the-numbers.com/movie/Big-Red-One-The,"['Robert Carradine', 'Bobby Di Cicco', 'Kelly Ward', 'Siegfried Rauch', 'Stephane Audran', 'Lee Marvin', 'Mark Hamill']","[['Samuel Fuller', 'Director'], ['Samuel Fuller', 'Screenwriter'], ['Gene Corman', 'Producer'], ['Dana Kaproff', 'Composer']]",100.0% (domestic box office/worldwide),"$24,565,440",,,,,"July 18th, 1980 (Wide) by United Artists",,113 minutes,Create your own comparison chart…,"World War II, War, War Drama, World War I, 1910s, 1940s, Unnamed Character, Pregnant Women, Death of a Spouse or Fiancée / Fiancé, Voiceover/Narration, Prologue, Autobiographical, Nazis",Based on Real Life Events,Drama,Live Action,Dramatization,"Lorimar Film Entertainment, United Artists",United States,English,,,R for war violence and some language. (2004 reconstruction) ,"$7,206,220",,,,
58,https://www.the-numbers.com/movie/Cheech-and-Chongs-Next-Movie,"['Cheech Marin', 'Tommy Chong']","[['Tommy Chong', 'Director'], ['Tommy Chong', 'Screenwriter'], ['Cheech Marin', 'Screenwriter'], ['Howard Brown', 'Producer'], ['Peter MacGregor-Scott', 'Associate Producer']]",100.0% (domestic box office/worldwide),"$142,067,481",,"$5,262,963 (12.6% of total gross)",7.92 (domestic box office/biggest weekend),"814 opening theaters/814 max. theaters, 1.0 weeks average run per theater","July 18th, 1980 (Wide) by Universal","June 4th, 2002 by MGM Video",93 minutes,vs. The Godfather: Part IIICreate your own comparison chart…,"Stoner Comedy, Fired, Relationships Gone Wrong, Money Troubles, Narcotics",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Universal Pictures,United States,English,,Cheech & Chong,R,"$41,675,194",,,,
59,https://www.the-numbers.com/movie/Honeysuckle-Rose,[],"[['Jerry Schatzberg', 'Director'], ['John Binder', 'Screenwriter'], ['Gustaf Molander', 'Screenwriter'], ['Carol Sobieski', 'Screenwriter'], ['Gösta Stevens', 'Screenwriter'], ['William D. Wittliff', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$60,730,663",,"$2,189,966 (12.3% of total gross)",8.13 (domestic box office/biggest weekend),"826 opening theaters/826 max. theaters, 1.0 weeks average run per theater","July 18th, 1980 (Wide) by Warner Bros.",,119 minutes,vs. Cheech & Chong's Next MovieCreate your own comparison chart…,"Romantic Drama, Romance, Relationships Gone Wrong, Love Triangle, May / December Romance, Country and Western Music, Singers, On Tour",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,,,,"$17,815,212",,,,
60,https://www.the-numbers.com/movie/Used-Cars,"['Kurt Russell', 'Gerrit Graham', 'Frank McRae', 'Joe Flaherty', 'David L. Lander', 'Michael McKean', 'Harry Northup', 'Woodrow Parfrey', 'Michael Talbott', 'Jack Warden', 'Deborah Harmon']","[['Robert Zemeckis', 'Director'], ['Robert Zemeckis', 'Screenwriter'], ['Bob Gale', 'Screenwriter'], ['Bob Gale', 'Producer'], ['Steven Spielberg', 'Executive Producer'], ['John Milius', 'Executive Producer'], ['Patrick Williams', 'Composer'], ['Norman Gimbel', 'Song Writer'], ['Bobby Bare', 'Additional Music-Song Sung By'], ['Donald M. Morgan', 'Director of Photography']]",100.0% (domestic box office/worldwide),"$39,936,606",,,,,"July 18th, 1980 (Wide) by Columbia","January 1st, 2002 by Sony Pictures Home Entertainment",112 minutes,vs. Romancing the StoneCreate your own comparison chart…,"Satirical Comedy, Satire, Twins, Same Actor, Multiple Roles, Death of a Sibling, Death of a Twin, Sibling Rivalry, Dysfunctional Family, Adult Child Dealing with the Death of a Parent, Cover Up, Faked Accidental Death",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Columbia Pictures,United States,English,,,R,"$11,715,321",,,,
61,https://www.the-numbers.com/movie/Caddyshack,[],"[['Harold Ramis', 'Director']]",100.0% (domestic box office/worldwide),"$135,833,073","$6,000,000 (worldwide box office is 6.6 times production budget)","$3,142,689 (7.9% of total gross)",12.68 (domestic box office/biggest weekend),"656 opening theaters/656 max. theaters, 1.0 weeks average run per theater","July 25th, 1980 (Wide) by Warner Bros.","June 25th, 1997 by Warner Home Video",98 minutes,vs. Airplane!Create your own comparison chart…,"Golf, Slobs vs. Snobs, Class Warfare, Farcical / Slapstick Comedy, Inspired by a True Story, Autobiographical",Original Screenplay,Comedy,Live Action,Contemporary Fiction,Orion Pictures,United States,English,"August 21st, 1980 (Wide) (Australia)
",Caddyshack,,"$39,846,344",,,"$3,420","$39,849,764"
62,https://www.the-numbers.com/movie/Raise-the-Titanic,[],"[['Jerry Jameson', 'Director'], ['Eric Hughes', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$23,862,449","$40,000,000 (worldwide box office is 0.2 times production budget)",,,,"August 1st, 1980 (Wide) by Associated Film Distributors","January 21st, 2014 by Shout Factory",114 minutes,vs. Star Wars: The Rise of SkywalkerCreate your own comparison chart…,"Action Adventure, Cold War, Underwater",Based on Fiction Book/Short Story,Adventure,Live Action,Contemporary Fiction,,United Kingdom,,,,PG,"$7,000,000","$439,285","$439,285",,
