,url,cast,crew,Domestic Share:,Infl. Adj. Dom. BO,Production Budget:,Opening Weekend:,Legs:,Theater counts:,Domestic Releases:,Video Release:,Running Time:,Franchise:,Comparisons:,Keywords:,Source:,Genre:,Production Method:,Creative Type:,Production/Financing Companies:,Production Countries:,Languages:,MPAA Rating:,International Releases:,Domestic Box Office,International Box Office,Worldwide Box Office,Est. Domestic Blu-ray Sales,Total Est. Domestic Video Sales
10,https://www.the-numbers.com/movie/Greek-Tycoon-The,"['Raf Vallone', 'Eddie Albert', 'Charles Durning', 'Luciana Paluzzi', 'Camilla Sparv', 'Marilu Tolo', 'James Franciscus', 'Anthony Quinn', 'Jacqueline Bisset']","[['Jack Lee Thompson', 'Director'], ['Morton S. Fine', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$54,863,239",,,,,1978 (Wide) by Universal,"August 6th, 1996 by Universal Home Entertainment, released as Greek Tycoon, The",107 minutes,,vs. Smokey and the BanditCreate your own comparison chart…,"Biographical Drama, Biography, Inspired by a True Story, Widow/Widower, Romance",Based on Real Life Events,Drama,Live Action,Dramatization,Universal Pictures,United States,English,,,"$14,000,000",,,,
11,https://www.the-numbers.com/movie/House-Calls,"['Walter Matthau', 'Glenda Jackson']","[['Howard Zieff', 'Director']]",100.0% (domestic box office/worldwide),"$113,645,296",,,,,1978 (Wide) by Universal,,,,vs. National Lampoon's Animal HouseCreate your own comparison chart…,,,,,,,United States,,,,"$29,000,000",,,,
12,https://www.the-numbers.com/movie/Ice-Castles,"['Robby Benson', 'Lynn-Holly Johnson']","[['Donald Wrye', 'Director'], ['Donald Wrye', 'Screenwriter'], ['Gary L. Baim', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$70,538,455",,,,,1978 (Wide) by Columbia,"February 9th, 2010 by Sony Pictures Home Entertainment",110 minutes,,Create your own comparison chart…,"Romantic Drama, Romance, Figure Skating, Blindness, Remade",Original Screenplay,Drama,Live Action,Contemporary Fiction,,United States,,PG For some mild language,,"$18,000,000",,,,
13,https://www.the-numbers.com/movie/Other-Side-of-the-Mountain-Part-II-The,"['Marilyn Hassett', 'Timothy Bottoms']",[],100.0% (domestic box office/worldwide),"$47,025,640",,,,,1978 (Wide) by Universal,,,,Create your own comparison chart…,,,,,,,United States,,,,"$12,000,000",,,,
14,https://www.the-numbers.com/movie/Same-Time-Next-Year,"['Alan Alda', 'Ellen Burstyn']","[['Robert Mulligan', 'Director'], ['Walter Mirisch', 'Producer'], ['Morton Gottlieb', 'Producer'], ['Marvin Hamlisch', 'Composer']]",100.0% (domestic box office/worldwide),"$90,132,471",,,,,1978 (Wide) by Universal,"January 20th, 1993 by Universal Home Entertainment",119 minutes,,Create your own comparison chart…,,Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,,United States,English,,,"$23,000,000",,,,
15,https://www.the-numbers.com/movie/Sgt-Peppers-Lonely-Hearts-Club-Band,"['Peter Frampton', 'Barry Gibb', 'Robin Gibb', 'Maurice Gibb']",[],100.0% (domestic box office/worldwide),"$50,552,559",,,,,1978 (Wide) by Universal,"August 12th, 2003 by Universal Home Entertainment",111 minutes,,vs. XanaduCreate your own comparison chart…,,,,,,,United States,,,,"$12,900,000",,,,
16,https://www.the-numbers.com/movie/Swarm-The,[],"[['Jerry Goldsmith', 'Composer']]",100.0% (domestic box office/worldwide),"$39,188,032",,,,,1978 (Wide) by Warner Bros.,"January 28th, 2016 by Warner Archive",,,vs. Hey Duggee At The Cinema - Autumn CollectionCreate your own comparison chart…,Animals Gone Bad,,,,,,United States,,,,"$10,000,000",,,,
17,https://www.the-numbers.com/movie/Thank-God-Its-Friday,[],[],100.0% (domestic box office/worldwide),"$28,607,264",,,,,1978 (Wide) by Columbia,"April 4th, 2006 by Sony Pictures Home Entertainment",,,Create your own comparison chart…,,,,,,,United States,,,,"$7,300,000",,,,
18,https://www.the-numbers.com/movie/Unmarried-Woman-An,['Jill Clayburgh'],"[['Paul Mazursky', 'Director'], ['Paul Mazursky', 'Screenwriter']]",100.0% (domestic box office/worldwide),"$94,051,280",,,,,1978 (Wide) by 20th Century Fox,"January 10th, 2006 by Fox Home Entertainment",124 minutes,,Create your own comparison chart…,"Romance, Comedy Drama, Relationships Gone Wrong, Divorcée Romance, Infidelity, 1979 Oscars Best Picture Nominee",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,United States,English,,,"$24,000,000",,,,
19,https://www.the-numbers.com/movie/Betsy-The,"['Laurence Olivier', 'Robert Duvall', 'Katharine Ross', 'Tommy Lee Jones', 'Jane Alexander']","[['Daniel Petrie', 'Director'], ['William Bast', 'Screenwriter'], ['Walter Bernstein', 'Screenwriter'], ['Harold Robbins', 'Story Creator']]",100.0% (domestic box office/worldwide),"$69,362,815",,"$2,425,377 (13.7% of total gross)",7.30 (domestic box office/biggest weekend),"473 opening theaters/473 max. theaters, 1.0 weeks average run per theater","February 9th, 1978 (Wide) by Allied Artists",,125 minutes,,vs. Un homme et une femmeCreate your own comparison chart…,"Romantic Drama, 1920s, 1930s, Dysfunctional Family, Auto Racing, Relationships Gone Wrong, Infidelity",Based on Fiction Book/Short Story,Drama,Live Action,Historical Fiction,,United States,,,,"$17,700,000",,,,
